target	regulator	var.exp.median
Maged1	Batf	0.5344997073520075
Barx2	Maz	0.5536091239396932
Farsb	Pitx1	0.5624699839565195
Zfp397	Nr1d1	0.5616808181472883
Cox5b	Elk1	0.5539136147302899
Maff	Mafg	0.5481152310431744
Ndufb11	Nfyb	0.5627904237156204
Man1a2	Prop1	0.5661928135028487
Rps11	Hnf4a	0.5582369540919623
Gabra2	Egr2	0.5188689658164024
Pde7a	Hoxa1	0.6838852758808147
Nkx2-1	Sox5	0.5838251272122056
Fam124a	Spib	0.5500254432734363
Dpf1	Hmg20b	0.5967491008878183
Trim8	Otx1	0.5683541065780447
