target	regulator	var.exp.median
Gm3453	Creb5	0.4746845748114899
St6galnac3	Tfap2b	0.6160877014735373
Syndig1	Mlx	0.5253156071999124
Ncam2	Tbx3	0.5983167523985312
Gm43507	Hnf1b	0.474862454514705
Akain1	Mafk	0.4875481435036706
Nrg3	Rest	0.4774954782467205
Hpse	Zfp652	0.4687865961295978
Gm17171	Sox13	0.5061744732317881
Amotl1	Spi1	0.5447936813930758
Dpysl3	Six1	0.5685850686432325
Luzp2	Foxg1	0.493466214129148
Trhde	Pou1f1	0.5269188755209215
Akain1	Arid3b	0.5061106626335538
Tcf12	Cebpb	0.6455238334121081
Pcdh19	Osr1	0.6212515238416043
Plpp4	Cebpe	0.5107634037789608
Fbn2	Jun	0.5281006254658672
Nr2f2	Sox2	0.4829406939320078
Grik2	Stat3	0.5322478202110448
Gm3468	Creb5	0.5299608321673221
Tmem56	Cux2	0.5798570367474017
Lingo2	Hes5	0.4949600156818117
Ppp3ca	Tbx21	0.473455941592476
Ndst3	Rarg	0.5097350528470714
Col25a1	Meis1	0.4858275785431993
Prkar2b	Arid5a	0.4671599730027952
Epha5	Tlx2	0.5661272554682171
Ptprn	Hes7	0.5258852192205598
Hivep2	Rfx2	0.4724315819458769
Pde5a	Isl1	0.4952563456905669
Sel1l3	Hoxc12	0.4971541999075075
Gabra4	Hmx2	0.4874805578771962
Gm21949	Ahctf1	0.4708146355445736
Gm3764	Lhx4	0.5481097007707448
Cadps	Npas2	0.5537282733026812
Muc15	Bcl6	0.4588587277112106
Tmem132c	Foxo1	0.5069783277780896
Dock11	Hnf4g	0.5192019461638324
Cntnap2	Hsf1	0.4675351233093484
Dscaml1	Hoxa11	0.4844274362720613
A930015D03Rik	Arx	0.4716000317252748
St3gal1	Sox3	0.6026808131046131
Rsrc1	Hoxc6	0.518305841820375
Zfp697	Foxd1	0.5051804025337392
Etv1	Otp	0.50753941770621
Rgs7	Ets2	0.5360316858966954
Itga6	Six4	0.4831819305055213
Gm49003	Zfp637	0.4755297512134671
Ubash3b	Cic	0.560979271185904
Ccdc186	Hmx1	0.4986145717922226
Tmem108	Cebpa	0.4656064233690628
Nrp2	Six6	0.5357579976037189
Nos1	Atf7	0.4712640195012457
Srrm4os	Zfp637	0.6009965086664786
Kcnq5	Tgif1	0.5049091353667846
Sema3a	Bhlha15	0.4627847233879821
Mef2c	Cphx1	0.47556841808393796
Ldlrad4	Hoxc9	0.6059137488041146
Galnt17	Trp63	0.4876727440786773
Ldb2	Klf3	0.6352694421360897
Utrn	Irf9	0.6648600245314051
Nrip3	Evx2	0.5166620734176279
Hgf	Mecp2	0.5187576558921901
Glra2	Rfx3	0.4640161660723504
Pam	Sox12	0.5236166366790787
