target	regulator	var.exp.median
Rps14	Pou3f1	0.6755853796293265
Pgrmc2	Bach2	0.6768619698051419
Wdr13	Ddit3	0.6768318438762206
Wdr13	Creb5	0.7000191861360145
Klf7	Hoxb7	0.6995887062253705
Dclk2	Arid3b	0.6828092038869671
Ttc14	Zbtb33	0.6796607978375713
Pou3f4	Stat5b	0.6962776560389664
Rsrc1	Tcf7l1	0.6844279564767104
Snapin	Tcf7	0.7408641974441909
Nolc1	Tbx5	0.6832821994320656
Ncl	Mxi1	0.6775110400028657
Cuedc2	Glis2	0.6948347315958103
Tex30	Gata6	0.6762058353540084
Ubqln2	Msgn1	0.6777490271249511
Tmem65	Tcf4	0.6652048874655441
Ubxn6	Nfyb	0.6903748936703865
Zfp706	Prrx2	0.6974239318044083
March1	Maff	0.6720085679014971
Cab39	Gata1	0.6750074767202248
Sh3gl1	Dbx1	0.6517324546017724
Rplp0	Pou3f1	0.7842860442344106
Efna5	Alx1	0.6762259848328784
Ly6h	Sall4	0.6614616244177373
Ilf2	Uncx	0.6954704594472985
Pam	Mecp2	0.6551185290900783
St6galnac5	Maff	0.6571977157476667
Pkia	Hes2	0.6535934553488959
Riok3	Dbx1	0.6896185582700187
Fam204a	Foxj1	0.6747913133164996
Rpl13a	Pou3f1	0.6667024167737958
Bex2	Hoxa1	0.6656586844974699
Ikzf2	Batf3	0.6889135679356102
Ptprm	Pou1f1	0.6673627995987446
Psma7	Snai1	0.6595013273304567
Ogt	Dbp	0.6653427256164266
Idh1	Pax6	0.6561132377793238
Kdm5c	Nrf1	0.691446344104345
Mex3a	Nfatc3	0.6741112164063454
Skil	Arx	0.6556476337781804
Lekr1	Atf1	0.6585813980159159
Pam	Foxa2	0.6533310474097529
Rps24	Pou3f1	0.66905492869923
Lancl3	Irf3	0.6513155793663822
Taz	Nr1h3	0.6822596947842052
Ilf2	Alx1	0.6670065585252389
Rpl22l1	Vsx1	0.678693977649315
Rgs17	Dlx2	0.6687248678688644
Nolc1	Myc	0.6547803943668129
Rsrc1	Ascl1	0.6515369067081942
Klf4	Twist1	0.6516471170645157
Rpl23	Pou3f1	0.6312924373611343
Idh1	Stat6	0.6524407000915575
Prkce	Zfp410	0.6429312687486171
Ppp1r11	Atf7	0.6398413182555065
Edil3	Pou3f1	0.7092272711974282
Map2	Nfib	0.6702741779814483
Ndufc1	Stat2	0.6903197965363232
Sept2	Pitx1	0.6530770211000541
Farsb	Pitx1	0.6607799553353249
Fam204a	Uncx	0.6414629341534699
Kdm5c	Foxc1	0.6476187865049909
Rab33a	Pbx3	0.6554718030670703
Bhlhb9	Nkx3-1	0.6552383718122892
Camk1	Tcf4	0.6316349409792155
Ap1s2	Hoxa1	0.6396824832831811
Kcnmb2	Foxd3	0.6523901670663291
Snapin	Irf2	0.6885784497411421
Praf2	Foxa3	0.6862675914300481
Tmem176b	Sox5	0.6612914062862429
Prr3	Foxc1	0.6418813201649538
Tubb2a	Zfp281	0.648876064248453
Ptn	E2f6	0.7035163933454736
Btrc	Mafb	0.6492943817619736
Btg2	Twist1	0.626592110481454
Myef2	Hsf2	0.6590721029497022
Actb	Hsf2	0.6319085288607657
Chtop	Dmrt1	0.6445971289329511
Mllt11	Myf5	0.6378667819835042
Vapa	Neurod2	0.6340478679500505
Mef2c	Dbp	0.6307565607850018
Paip1	Hsf2	0.7107711803799011
Zfp397	Nr1d1	0.6404138574083839
Uchl1	Prdm5	0.6225923691060828
